# t 	 Sigma_L 	 Sigma_R 	 ILR 
1.7510000000000001	1.2200000000000004	1.940000000000001	-0.009298954854495584
1.752	1.2200000000000004	1.940000000000001	-0.009039132563562237
1.7530000000000001	1.2200000000000004	1.940000000000001	-0.008777566742369833
1.754	1.2200000000000004	1.960000000000001	-0.05717903116247572
1.7550000000000001	1.2200000000000004	1.960000000000001	-0.0571095709667322
1.756	1.2200000000000004	1.960000000000001	-0.05703869025760782
1.7570000000000001	1.2200000000000004	1.960000000000001	-0.05696638903510253
1.758	1.2400000000000007	1.960000000000001	-0.0887537133662801
1.7590000000000001	1.2400000000000007	1.960000000000001	-0.0886878275769129
1.76	1.2400000000000007	1.960000000000001	-0.08862019825728662
1.7610000000000001	1.2400000000000007	1.960000000000001	-0.0885508254074013
1.762	1.2400000000000007	1.960000000000001	-0.08847970902725694
1.7630000000000001	1.2400000000000007	1.960000000000001	-0.08840684911685368
1.764	1.2400000000000007	1.960000000000001	-0.08833224567619136
1.7650000000000001	1.2400000000000007	1.960000000000001	-0.08825589870526998
1.766	1.2400000000000007	1.960000000000001	-0.08817780820408974
1.7670000000000001	1.2400000000000007	1.960000000000001	-0.08809797417265047
1.768	1.2400000000000007	1.960000000000001	-0.08801639661095209
1.7690000000000001	1.2400000000000007	1.960000000000001	-0.08793307551899482
1.77	1.2400000000000007	1.960000000000001	-0.08784801089677854
1.7710000000000001	1.2400000000000007	1.960000000000001	-0.08776120274430319
1.772	1.2400000000000007	1.960000000000001	-0.08767265106156884
1.7730000000000001	1.2400000000000007	1.960000000000001	-0.08758235584857549
1.774	1.2400000000000007	1.960000000000001	-0.08749031710532312
1.7750000000000001	1.2400000000000007	1.960000000000001	-0.0873965348318119
1.776	1.2400000000000007	1.960000000000001	-0.08730100902804153
1.7770000000000001	1.2400000000000007	1.960000000000001	-0.08720373969401223
1.778	1.2400000000000007	1.960000000000001	-0.08710472682972381
1.7790000000000001	1.2400000000000007	1.960000000000001	-0.08700397043517652
1.78	1.2400000000000007	1.960000000000001	-0.08690147051037023
1.7810000000000001	1.2400000000000007	1.960000000000001	-0.08679722705530482
1.782	1.2400000000000007	1.960000000000001	-0.08669124006998052
1.7830000000000001	1.2400000000000007	1.960000000000001	-0.0865835095543972
1.784	1.2400000000000007	1.960000000000001	-0.08647403550855481
1.7850000000000001	1.2400000000000007	1.960000000000001	-0.08636281793245348
1.786	1.2400000000000007	1.960000000000001	-0.08624985682609301
1.7870000000000001	1.2400000000000007	1.960000000000001	-0.08613515218947379
1.788	1.2400000000000007	1.960000000000001	-0.0860187040225954
1.7890000000000001	1.2400000000000007	1.960000000000001	-0.08590051232545806
1.79	1.2400000000000007	1.960000000000001	-0.0857805770980617
1.7910000000000001	1.2400000000000007	1.960000000000001	-0.0856588983404063
1.792	1.2400000000000007	1.960000000000001	-0.08553547605249201
1.793	1.2400000000000007	1.960000000000001	-0.08541031023431855
1.794	1.2400000000000007	1.960000000000001	-0.08528340088588619
1.795	1.2400000000000007	1.960000000000001	-0.08515474800719477
1.796	1.2400000000000007	1.960000000000001	-0.08502435159824448
1.797	1.2400000000000007	1.960000000000001	-0.0848922116590351
1.798	1.2400000000000007	1.960000000000001	-0.08475832818956672
1.799	1.2400000000000007	1.960000000000001	-0.08462270118983929
1.8	1.2400000000000007	1.960000000000001	-0.08448533065985296
1.801	1.2400000000000007	1.960000000000001	-0.08434621659960748
1.802	1.2400000000000007	1.960000000000001	-0.08420535900910317
1.803	1.2600000000000007	1.960000000000001	-0.0551242219035265
1.804	1.2600000000000007	1.960000000000001	-0.055061115357407174
1.805	1.2600000000000007	1.960000000000001	-0.05499594226415079
1.806	1.2600000000000007	1.960000000000001	-0.05492870262375719
1.807	1.2600000000000007	1.960000000000001	-0.05485939643622649
1.808	1.2600000000000007	1.960000000000001	-0.05478802370155855
1.809	1.2600000000000007	1.980000000000001	-0.05475691978034061
1.81	1.2800000000000007	1.980000000000001	-0.06404786544497937
1.811	1.2800000000000007	1.980000000000001	-0.06404935710748669
1.812	1.2800000000000007	1.980000000000001	-0.06404878222285677
1.813	1.2800000000000007	1.980000000000001	-0.06404614079108986
1.814	1.2800000000000007	1.980000000000001	-0.06404143281218574
1.815	1.2800000000000007	1.980000000000001	-0.06403465828614455
1.816	1.2800000000000007	1.980000000000001	-0.0640258172129661
1.817	1.2800000000000007	2.000000000000001	-0.005510449913228549
1.818	1.2800000000000007	2.000000000000001	-0.005668536688573388
1.819	1.2800000000000007	2.000000000000001	-0.005824233899903015
1.82	1.2800000000000007	2.000000000000001	-0.0059775415472172536
1.821	1.2800000000000007	2.000000000000001	-0.006128459630516298
1.822	1.2800000000000007	2.000000000000001	-0.0062769881498000585
1.823	1.2800000000000007	2.000000000000001	-0.006423127105068562
1.824	1.2800000000000007	2.000000000000001	-0.006566876496321684
1.825	1.2800000000000007	2.000000000000001	-0.006708236323559696
